riskId,activityId,simulatedDuration,totalSimulatedDuration,riskMitigationCost,contigencyCost
R1,"1,2",139.39963711357714,444.3996371135771,4189.95,315099.64
R1,"1,2",134.74232163742263,439.7423216374226,4189.95,315099.64
R1,"1,2",121.20889103798766,426.20889103798766,4189.95,315099.64
R1,"1,2",95.83632642341792,400.8363264234179,4189.95,315099.64
R1,"1,2",131.72554024154664,436.72554024154664,4189.95,315099.64
R1,"1,2",137.98153123006244,442.98153123006244,4189.95,315099.64
R1,"1,2",135.3778286503444,440.37782865034444,4189.95,315099.64
R1,"1,2",134.03744489830547,439.03744489830547,4189.95,315099.64
R1,"1,2",143.6454967072588,448.64549670725876,4189.95,315099.64
R1,"1,2",166.15840003198616,471.15840003198616,4189.95,315099.64
R1,"1,2",163.10365338820918,468.1036533882092,4189.95,315099.64
R1,"1,2",156.43304549918057,461.4330454991806,4189.95,315099.64
R1,"1,2",129.63226094814164,434.6322609481416,4189.95,315099.64
R1,"1,2",119.43140835243264,424.43140835243264,4189.95,315099.64
R1,"1,2",105.55267929704853,410.55267929704854,4189.95,315099.64
R1,"1,2",168.9356718328439,473.9356718328439,4189.95,315099.64
R1,"1,2",131.36226770499397,436.362267704994,4189.95,315099.64
R1,"1,2",152.90738853574874,457.90738853574874,4189.95,315099.64
R1,"1,2",119.08935635294979,424.0893563529498,4189.95,315099.64
R1,"1,2",131.8419311191192,436.8419311191192,4189.95,315099.64
R1,"1,2",122.06384676245409,427.0638467624541,4189.95,315099.64
R1,"1,2",143.14624793138412,448.1462479313841,4189.95,315099.64
R1,"1,2",105.55969218790399,410.559692187904,4189.95,315099.64
R1,"1,2",123.6292517125554,428.6292517125554,4189.95,315099.64
R1,"1,2",113.70542060542479,418.7054206054248,4189.95,315099.64
R1,"1,2",92.35103619006468,397.3510361900647,4189.95,315099.64
R1,"1,2",153.89267115905994,458.89267115905994,4189.95,315099.64
R1,"1,2",116.47882628429758,421.4788262842976,4189.95,315099.64
R1,"1,2",126.45978647624887,431.45978647624884,4189.95,315099.64
R1,"1,2",160.5356202427078,465.5356202427078,4189.95,315099.64
R1,"1,2",135.38422976134478,440.3842297613448,4189.95,315099.64
